"","...1","index","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","data_colheita","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","fo_grupo","fs_grupo"
"11",11,11,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Madrep<e9>rola","chc",1,2017-12-15,2018-03-15,"17/18",1.5,5,7,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA,2,1
"12",12,12,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",1,2017-12-15,2018-03-15,"17/18",0.4,2.5,2.5,2.5,NA,NA,NA,NA,NA,0.3,0.3,0.8,1.5,2,2,2,NA,NA,NA,NA,1,4
"13",13,13,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Uai","chc",1,2017-12-15,2018-03-15,"17/18",0.3,2.5,3.5,NA,NA,NA,NA,NA,NA,0.2,0.2,0.5,0.8,NA,NA,NA,NA,NA,NA,NA,1,1
"14",14,14,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","C 10-6-91","chc",1,2017-12-15,2018-03-15,"17/18",2,4.5,6,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,1.5,2,3,NA,NA,NA,2,1
"15",15,15,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Mil<ea>nio","chc",1,2017-12-15,2018-03-15,"17/18",0.1,0.8,1.5,1.5,NA,NA,NA,NA,NA,0.1,0.5,1,1,1,NA,NA,NA,NA,NA,NA,3,1
"16",16,16,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Sintonia","chc",1,2017-12-15,2018-03-15,"17/18",2,5.3,8,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.5,1,1,1.5,NA,NA,NA,2,1
"17",17,17,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",1,2017-12-15,2018-03-15,"17/18",1.5,4.5,7.5,NA,NA,NA,NA,NA,NA,0.2,0.5,1,1.5,NA,NA,NA,NA,NA,NA,NA,2,1
"18",18,18,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",1,2017-12-15,2018-03-15,"17/18",0.2,1.5,2.5,NA,NA,NA,NA,NA,NA,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"19",19,19,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Bem-te-vi","chc",1,2017-12-15,2018-03-15,"17/18",0.1,1,2,NA,NA,NA,NA,NA,NA,0.2,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,1,1
"20",20,20,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",1,2017-12-15,2018-03-15,"17/18",0.4,2,3,NA,NA,NA,NA,NA,NA,0.5,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1
"21",21,21,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Celeiro","chc",1,2017-12-15,2018-03-15,"17/18",0.5,1.5,2.5,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,2.5,2.5,2.5,NA,NA,NA,NA,NA,1,4
"22",22,22,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",1,2017-12-15,2018-03-15,"17/18",2,6.3,8,NA,NA,NA,NA,NA,NA,0.2,1.5,2,3.5,3.5,3.5,NA,NA,NA,NA,NA,2,4
"23",23,23,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a Radiante","b",1,2017-12-15,2018-03-15,"17/18",2,8,8.5,NA,NA,NA,NA,NA,NA,0.2,0.8,2.5,4,7.5,7.5,7.5,NA,NA,NA,NA,2,3
"24",24,24,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Nhambu","p",1,2017-12-15,2018-03-15,"17/18",0.8,1.9,4.5,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,2,2.5,2.5,NA,NA,NA,NA,NA,1,4
"25",25,25,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Urutau","p",1,2017-12-15,2018-03-15,"17/18",0.5,2.8,4.5,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.5,0.5,1,NA,NA,NA,2,1
"26",26,26,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Linhagem 110","chc",1,2017-12-15,2018-03-15,"17/18",0.2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
"27",27,27,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 205 Riqueza","chc",1,2017-12-15,2018-03-15,"17/18",1,3.5,6,NA,NA,NA,NA,NA,NA,0.2,0.8,1,1.5,NA,NA,NA,NA,NA,NA,NA,2,1
"28",28,28,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",1,2017-12-15,2018-03-15,"17/18",0.1,2,5.5,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,1.5,2,NA,NA,NA,NA,NA,NA,2,4
"29",29,29,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",1,2017-12-15,2018-03-15,"17/18",0.2,2,4.5,NA,NA,NA,NA,NA,NA,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,1,1
"30",30,30,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","GEN 107-14A-336","chc",2,2017-12-15,2018-03-15,"17/18",0.1,1.5,2.5,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.3,1,1.5,1.5,NA,NA,NA,1,1
"31",31,31,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",2,2017-12-15,2018-03-15,"17/18",0.4,3,5,NA,NA,NA,NA,NA,NA,0.1,0.5,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,2,1
"32",32,32,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA 03","chc",2,2017-12-15,2018-03-15,"17/18",0.2,1.5,3,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,3,3,3,NA,NA,NA,NA,NA,1,4
"33",33,33,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Sintonia","chc",2,2017-12-15,2018-03-15,"17/18",0.8,5.5,7.5,NA,NA,NA,NA,NA,NA,0.2,0.5,2.5,3,NA,NA,NA,NA,NA,NA,NA,2,4
"34",34,34,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",2,2017-12-15,2018-03-15,"17/18",1,5.5,7,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,5,5,5,NA,NA,NA,NA,2,3
"35",35,35,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",2,2017-12-15,2018-03-15,"17/18",0.2,1.5,3,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,4,4,4,NA,NA,NA,1,1
"36",36,36,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 402","chc",2,2017-12-15,2018-03-15,"17/18",0.1,0.8,2.5,NA,NA,NA,NA,NA,NA,0.1,0.5,1,1,1,NA,NA,NA,NA,NA,NA,1,1
"37",37,37,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",2,2017-12-15,2018-03-15,"17/18",1,4.5,6,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,2.5,3,3,NA,NA,NA,NA,NA,2,4
"38",38,38,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",2,2017-12-15,2018-03-15,"17/18",0.4,2,2.5,NA,NA,NA,NA,NA,NA,0.1,0.8,2,3,3,3,NA,NA,NA,NA,NA,1,4
"39",39,39,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Linhagem 110","chc",2,2017-12-15,2018-03-15,"17/18",0.1,0.8,0.8,NA,NA,NA,NA,NA,NA,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,3,1
"40",40,40,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FS 305","calima",2,2017-12-15,2018-03-15,"17/18",0.8,3,3,NA,NA,NA,NA,NA,NA,0.8,1.5,2,7,7,7,NA,NA,NA,NA,NA,1,3
"41",41,41,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",2,2017-12-15,2018-03-15,"17/18",0.4,2,3.5,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,1,1,1,NA,NA,NA,NA,1,1
"42",42,42,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",2,2017-12-15,2018-03-15,"17/18",0.2,1,3,NA,NA,NA,NA,NA,NA,0.1,0.8,1.5,3,5,5,5,NA,NA,NA,NA,1,3
"43",43,43,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tuiui<fa>","p",2,2017-12-15,2018-03-15,"17/18",0.8,2.5,2.5,2.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,3,3,3,NA,NA,NA,NA,1,1
"44",44,44,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Campeiro","p",2,2017-12-15,2018-03-15,"17/18",1.5,5,6,NA,NA,NA,NA,NA,NA,0.1,1,1,1.5,NA,NA,NA,NA,NA,NA,NA,2,1
"45",45,45,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a Radiante","b",2,2017-12-15,2018-03-15,"17/18",2.5,8,8.5,NA,NA,NA,NA,NA,NA,0.2,0.8,2.5,4,7.5,7.5,7.5,NA,NA,NA,NA,2,3
"46",46,46,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Sabi<e1>","chc",2,2017-12-15,2018-03-15,"17/18",0.5,1.5,2.5,NA,NA,NA,NA,NA,NA,0.2,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1,1
"47",47,47,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 205 Riqueza","chc",2,2017-12-15,2018-03-15,"17/18",0.8,3.5,3.5,NA,NA,NA,NA,NA,NA,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,1,1
"48",48,48,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",2,2017-12-15,2018-03-15,"17/18",1,3.5,3.5,NA,NA,NA,NA,NA,NA,0.1,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1,1
"49",49,49,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA 02","p",2,2017-12-15,2018-03-15,"17/18",0.1,1,2,2.5,NA,NA,NA,NA,NA,0.1,0.5,1,2,2,2,NA,NA,NA,NA,NA,1,4
"50",50,50,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Celeiro","chc",2,2017-12-15,2018-03-15,"17/18",2,4,6,NA,NA,NA,NA,NA,NA,0.1,5.5,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,2,4
"51",51,51,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 204 Predileto","p",2,2017-12-15,2018-03-15,"17/18",0.5,2.5,3,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,1,4
"52",52,52,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Nhambu","p",2,2017-12-15,2018-03-15,"17/18",0.2,1,2,2,NA,NA,NA,NA,NA,0.1,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,1,1
"53",53,53,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 104","chc",2,2017-12-15,2018-03-15,"17/18",2,7.5,8.5,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,6.5,7,7,NA,NA,NA,2,3
"54",54,54,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Madrep<e9>rola","chc",2,2017-12-15,2018-03-15,"17/18",1.5,4.5,5,NA,NA,NA,NA,NA,NA,0.2,0.5,0.5,1,NA,NA,NA,NA,NA,NA,NA,2,1
"55",55,55,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esteio","p",2,2017-12-15,2018-03-15,"17/18",0.2,1.5,1.5,1.5,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,5,5,5,NA,NA,NA,1,3
"56",56,56,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tangar<e1>","chc",2,2017-12-15,2018-03-15,"17/18",0.1,1,1,1,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,6.5,6.5,6.5,NA,NA,NA,NA,3,3
"57",57,57,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","C 10-6-91","chc",2,2017-12-15,2018-03-15,"17/18",1.5,6,7,NA,NA,NA,NA,NA,NA,0.2,0.8,2,3.5,5,5,5,NA,NA,NA,NA,2,3
"58",58,58,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",2,2017-12-15,2018-03-15,"17/18",1,6,7,NA,NA,NA,NA,NA,NA,0.2,0.8,2.5,4,5.5,5.5,5.5,NA,NA,NA,NA,2,3
"59",59,59,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esteio","p",3,2017-12-15,2018-03-15,"17/18",0.5,1.5,2,2,NA,NA,NA,NA,NA,0.1,0.1,1,1,1,NA,NA,NA,NA,NA,NA,1,1
"60",60,60,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Urutau","p",3,2017-12-15,2018-03-15,"17/18",0.5,2,2.5,2,NA,NA,NA,NA,NA,0.2,0.2,0.7,0.7,0.7,NA,NA,NA,NA,NA,NA,1,1
"61",61,61,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",3,2017-12-15,2018-03-15,"17/18",1.5,6.5,7,NA,NA,NA,NA,NA,NA,0.5,2,3.5,5,5,5,NA,NA,NA,NA,NA,2,3
"62",62,62,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",3,2017-12-15,2018-03-15,"17/18",0.4,2,5,NA,NA,NA,NA,NA,NA,0.2,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,1
"63",63,63,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Nhambu","p",3,2017-12-15,2018-03-15,"17/18",0.5,2,3.5,NA,NA,NA,NA,NA,NA,0.2,1,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA,1,4
"64",64,64,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 205 Riqueza","chc",3,2017-12-15,2018-03-15,"17/18",0.8,2.5,3.5,NA,NA,NA,NA,NA,NA,0.2,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,1,1
"65",65,65,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Madrep<e9>rola","chc",3,2017-12-15,2018-03-15,"17/18",0.8,3,5.5,NA,NA,NA,NA,NA,NA,0.2,0.2,0.8,1.5,1.5,2,NA,NA,NA,NA,NA,2,1
"66",66,66,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 204 Predileto","p",3,2017-12-15,2018-03-15,"17/18",1.5,4,5,NA,NA,NA,NA,NA,NA,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,2,1
"67",67,67,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",3,2017-12-15,2018-03-15,"17/18",0.2,2,3.5,NA,NA,NA,NA,NA,NA,0.1,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,1,1
"68",68,68,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Sabi<e1>","chc",3,2017-12-15,2018-03-15,"17/18",0.1,1,1,NA,NA,NA,NA,NA,NA,0.2,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,3,1
"69",69,69,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Celeiro","chc",3,2017-12-15,2018-03-15,"17/18",0.2,1.5,2.5,NA,NA,NA,NA,NA,NA,0.1,0.3,3,3,3,NA,NA,NA,NA,NA,NA,1,4
"70",70,70,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FP 403","p",3,2017-12-15,2018-03-15,"17/18",0.2,1,1.5,1.5,NA,NA,NA,NA,NA,0.1,0.5,1,1,1,NA,NA,NA,NA,NA,NA,1,1
"71",71,71,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 104","chc",3,2017-12-15,2018-03-15,"17/18",3,8,8,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,6.5,6.5,6.5,NA,NA,NA,2,3
"72",72,72,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 402","chc",3,2017-12-15,2018-03-15,"17/18",1,3,4.5,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,1.5,2,NA,NA,NA,NA,NA,NA,2,4
"73",73,73,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",3,2017-12-15,2018-03-15,"17/18",0.8,1.5,2,NA,NA,NA,NA,NA,NA,1.5,2.5,3,3,3,8,8,8,NA,NA,NA,1,3
"74",74,74,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Uai","chc",3,2017-12-15,2018-03-15,"17/18",1,2,2,2,NA,NA,NA,NA,NA,0.2,0.8,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,1,4
"75",75,75,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Linhagem 110","chc",3,2017-12-15,2018-03-15,"17/18",0.2,1,2.5,NA,NA,NA,NA,NA,NA,0.1,0.8,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,1,4
"76",76,76,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",3,2017-12-15,2018-03-15,"17/18",0.8,2,3,3.5,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,1.5,1.5,1.5,NA,NA,NA,1,1
"77",77,77,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",3,2017-12-15,2018-03-15,"17/18",0.1,0.8,1.5,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,3,3,3,NA,NA,NA,NA,3,1
"78",78,78,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",3,2017-12-15,2018-03-15,"17/18",2,5,6,NA,NA,NA,NA,NA,NA,0.1,0.8,2,3,3.5,NA,NA,NA,NA,NA,NA,2,4
"79",79,79,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","C 10-6-91","chc",3,2017-12-15,2018-03-15,"17/18",2.5,5,6,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,2.5,3.5,5,5,5,NA,NA,NA,2,3
"80",80,80,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Bem-te-vi","chc",3,2017-12-15,2018-03-15,"17/18",0.8,2.5,2.5,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"81",81,81,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",3,2017-12-15,2018-03-15,"17/18",0.1,0.8,1.5,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,5.5,5.5,5.5,NA,NA,NA,3,3
"82",82,82,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Sintonia","chc",3,2017-12-15,2018-03-15,"17/18",1.5,3.5,5,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,6,6,6,NA,NA,NA,2,3
"83",83,83,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a Radiante","b",3,2017-12-15,2018-03-15,"17/18",4,8,8.5,NA,NA,NA,NA,NA,NA,0.1,0.5,0.5,0.8,0.8,7,7.5,7.5,NA,NA,NA,2,3
"84",84,84,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",4,2017-12-15,2018-03-15,"17/18",0.1,1,2,NA,NA,NA,NA,NA,NA,0.2,0.8,2,2,2,NA,NA,NA,NA,NA,NA,1,4
"85",85,85,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",4,2017-12-15,2018-03-15,"17/18",0.5,2,3.5,NA,NA,NA,NA,NA,NA,0.1,0.8,2,3,4.5,6,6,6,NA,NA,NA,1,3
"86",86,86,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",4,2017-12-15,2018-03-15,"17/18",0.2,1,3,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,1,1,1,NA,NA,NA,NA,NA,1,1
"87",87,87,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Mil<ea>nio","chc",4,2017-12-15,2018-03-15,"17/18",0.1,0.8,0.8,0.8,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.8,1.5,1.5,NA,NA,NA,NA,3,1
"88",88,88,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Uai","chc",4,2017-12-15,2018-03-15,"17/18",0.8,2,3.5,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"89",89,89,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",4,2017-12-15,2018-03-15,"17/18",2,7,8,NA,NA,NA,NA,NA,NA,0.2,0.8,2.5,4,6,6,7,NA,NA,NA,NA,2,3
