"x"
"45/57-7-3-1/4"
"49/61-1/2"
"Alba"
"Alubia"
"ANFc11"
"ANFc23"
"ANFc5"
"ANFc8"
"ANFc9"
"ANFcLinhagem2"
"ANfe9"
"ANFp110"
"ANFp119"
"ANFpLinhagem1"
"Apore"
"Bionobre"
"BolaBranca"
"BolaCheia"
"Bonito"
"Branquinho"
"BRSAgreste"
"BRSAmetista"
"BRSArtico"
"BRSCampeiro"
"BRSCometa"
"BRSEmbaixador"
"BRSEsplendor"
"BRSEsteio"
"BRSEstilo"
"BRSExecutivo"
"BRSFC104"
"BRSFC310"
"BRSFC401RMD"
"BRSFC402"
"BRSFC406"
"BRSFC409"
"BRSFP403"
"BRSFS305"
"BRSFS311"
"BRSGrafite"
"BRSGuaribas"
"BRSHorizonte"
"BRSIntrepido"
"BRSMarfim"
"BRSMGMadreperola"
"BRSMGMajestoso"
"BRSMGPioneiro"
"BRSMGRealce"
"BRSMGTalisma"
"BRSMGUai"
"BRSNotavel"
"BRSPaisano"
"BRSPitanga"
"BRSPontal"
"BRSRadiante"
"BRSRequinte"
"BRSSublime"
"BRSSupremo"
"BRSTalisma"
"BRSTimbo"
"BRSValente"
"BRSVereda"
"C-4-7-7-2-2"
"C10-2-16/8"
"C10-2-4/41"
"C10-6-91"
"C2-1-6-1-1"
"C2-3-1-1-2"
"Campeao1"
"Campeao2"
"Carioca"
"Carioca75"
"Carioca75Precoce"
"CariocaE.Maichaki"
"Chamego"
"Clio"
"CNF8066"
"CNF8097"
"CNFC18582"
"CNFC7564"
"CNFC7806"
"CNFC7813"
"CNFC7827"
"CNFC8075"
"CNFC8202"
"CNFC9461"
"CNFCT19112"
"CNFCT19115"
"CNFCT19118"
"CNFCT19119"
"CNFCT19120"
"CNFCT19121"
"CNFE8223"
"CNFP7726"
"CNFP7762"
"CNFP7775"
"CNFP7776"
"CNFP7777"
"CNFP8000"
"CNFR8223"
"CNPF7726"
"CucoTaquari"
"DiamanteNegro"
"Enchimento"
"FAPF3RC2-2"
"FT08-19"
"FT08-37"
"FT08-47"
"FT08-75"
"FT2001A"
"FT2001B"
"FT2002"
"FT84-105"
"FT84-113"
"FT90-1535"
"FT97-155"
"FT97-535"
"FT97-68"
"FT97-708"
"FT97-716"
"FT97-837"
"FT989501"
"FT99-3055"
"FT99-3567"
"FT99-5065"
"FT99-5533"
"FT99-7255"
"FT99-8341"
"FT99-8456"
"FT995306"
"FTS41"
"FTS41A"
"FTS65"
"FTSMagnifico"
"FTSNativo"
"FTSSoberano"
"GEN05TGE-3-1-6-1"
"GEN05TGE-3-10-1-1"
"GEN107-14A-336"
"GEN125-20A-520"
"GEN45-2F-293P"
"GEN49-4-4DA940"
"GEN90-4A-160"
"GEN96A100"
"GEN96A14"
"GEN96A31"
"GEN96A37"
"GEN96A45"
"Gen96A55"
"GEN96A98-13"
"GEN96A98-5"
"Gleba10D1"
"Hooterarbustivo"
"Hooterrasteiro"
"IAC1849"
"IAC1850"
"IAC2051"
"IACAlvorada"
"IACBoreal"
"IACC2-1-1"
"IACC2-1-3"
"IACC2-1-6"
"IACCariocaAkyta"
"IACCariocaArua"
"IACCariocaEte"
"IACCariocaPyata"
"IACCariocaTybata"
"IACCentauro"
"IACDiplomata"
"IACFormoso"
"IACGalante"
"IACGEN122"
"IACHarmonia"
"IACImperador"
"IACMilenio"
"IACNetuno"
"IACNuance"
"IACSintonia"
"IACTigre"
"IACUna"
"IACVeloz"
"IAPAR14"
"IAPAR31"
"IAPAR44"
"IAPAR57"
"IAPAR65"
"IAPAR72"
"IAPAR80"
"IAPAR81"
"IAPARMD841"
"IAPARMD905"
"IAPARMD972"
"IAPARMD973"
"ICAF0015"
"ICAPassodaPedra"
"ICAVilaBonita"
"ImperadorVermelho"
"IPR139"
"IPR88"
"IPRAndorinha"
"IPRBem-te-vi"
"IPRCamposGerais"
"IPRCeleiro"
"IPRChopim"
"IPRColibri"
"IPRCorujinha"
"IPRCurio"
