"","...1.x","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_Fo","Mediana_FO","Desvio_FO","Cv_FO","...1.y","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_Fs","Mediana_FS","Desvio_FS","Cv_FS"
"21",364,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Urutau","p",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"22",365,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","Marhe","chc",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"23",366,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","SCS 204 Predileto","p",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"24",367,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","SCS 205 Riqueza","chc",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"25",368,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","TAA Dama","chc",1,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"26",369,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 104","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"27",370,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 1849","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"28",371,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","Marhe","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"29",372,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IAC 2051","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"30",373,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS Esteio","p",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"31",374,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Tuiui<fa>","p",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"32",375,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","SCS 204 Predileto","p",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"33",376,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Urutau","p",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"34",377,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 402","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"35",378,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS Estilo","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"36",379,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","ANFc 9","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"37",380,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Campos Gerais","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"38",381,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","GEN 49-4-4 DA 940","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"39",382,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","IPR Curi<f3>","chc",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"40",383,"Castro_CDECastro_20/21_nao_com","CDECastro","Castro","PR","com","nao","BRS FP 403","p",2,2020-12-15,"20/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
