"","...1.x","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_Fo","Mediana_FO","Desvio_FO","Cv_FO","...1.y","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_Fs","Mediana_FS","Desvio_FS","Cv_FS"
"11",933,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esplendor","p",4,2015-12-14,"15/16","0.2",NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,933,"6.2","6.8","7.6","7.6","7.6","7.6","7.6","9.2",NA,NA,NA,7.525,7.6,0.854818276427385,11.3597113146496
"12",934,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS <c1>rtico","b",4,2015-12-14,"15/16","0.2",NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,934,"4","4","5","5.2","5.2","7","9.5","9.5",NA,NA,NA,6.175,5.2,2.25309311201925,36.4873378464655
"13",935,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Uirapuru","p",4,2015-12-14,"15/16","0.6",NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,NA,NA,935,"7","7.2","7.4","7.4","7.4","7.4","7.4","9",NA,NA,NA,7.525,7.4,0.613537750614069,8.15332558955573
"14",936,"Arapoti_CDEArapoti_15/16_nao_com","CDEArapoti","Arapoti","PR","com","nao","FAP-F3-2","chc",4,2015-12-14,"15/16","0.5",NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,936,"2","2","2.4","2.4","2.4","2.4","2.4","5.6",NA,NA,NA,2.7,2.4,1.18562822407122,43.9121564470824
"15",968,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","45/57-7-3-1/4","chc",1,2014-12-15,"14/15","2.6",NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,NA,NA,968,"0.4","0.4","0.4",NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0,0
"16",969,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",1,2014-12-15,"14/15","4.4",NA,NA,NA,NA,NA,NA,NA,NA,4.4,4.4,NA,NA,969,"0.4","0.4","1.6",NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.4,0.692820323027551,86.6025403784439
"17",970,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Ametista","chc",1,2014-12-15,"14/15","0.8",NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.8,NA,NA,970,"1","1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.2,0.282842712474619,23.5702260395516
"18",971,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Campeiro","p",1,2014-12-15,"14/15","5.6",NA,NA,NA,NA,NA,NA,NA,NA,5.6,5.6,NA,NA,971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",972,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esteio","p",1,2014-12-15,"14/15","1.4",NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,NA,NA,972,"0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.8,NA,NA
"20",973,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",1,2014-12-15,"14/15","1.2",NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.2,NA,NA,973,"0.2","0.2","0.2",NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0
"21",974,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Not<e1>vel","chc",1,2014-12-15,"14/15","0.2",NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,974,"0.2","0.6","1","1","1",NA,NA,NA,NA,NA,NA,0.833333333333333,1,0.366969571853944,44.0363486224732
