"","...1","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","Media_FO","Mediana_FO","Desvio_FO","Cv_FO","Nao_Nulos_Fo","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","Media_FS","Mediana_FS","Desvio_FS","Cv_FS","Nao_Nulos_Fs"
"1",142,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FP 403","p",2,2019-12-17,"18/19",0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2",148,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Urutau","p",2,2019-12-17,"18/19",0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3",156,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Madrep<e9>rola","chc",2,2019-12-17,"18/19",0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4",137,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",1,2019-12-17,"18/19",0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,3,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,3
"5",155,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",2,2019-12-17,"18/19",0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"6",162,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Veloz","p",2,2019-12-17,"18/19",0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"7",615,"Castro_CDECastro_19/20_nao_com","CDECastro","Castro","PR","com","nao","BRS FC 402","chc",1,2019-12-23,"19/20",3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,1,NA,0,NA,0,NA,0.5,0.5,NA,0.8,NA,NA,0.36,0.5,0.350713558335004,97.4204328708344,5
"8",656,"Castro_CDECastro_19/20_nao_com","CDECastro","Castro","PR","com","nao","IPR Uirapuru","p",2,2019-12-23,"19/20",1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,1,NA,0,NA,0,NA,0,0,NA,0,NA,NA,0,0,0,NA,5
"9",702,"Castro_CDECastro_19/20_nao_com","CDECastro","Castro","PR","com","nao","BRS Esteio","p",4,2019-12-23,"19/20",2.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,NA,NA,1,NA,0,NA,1.5,NA,2,2,NA,3,NA,NA,1.7,2,1.09544511501033,64.4379479417842,5
"10",130,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Uirapuru","p",1,2019-12-17,"18/19",0.5,0.8,1,1,NA,NA,NA,NA,NA,0.825,0.9,0.23629078131263,28.6413068257734,4,0.2,0.2,0.2,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.35,0.35,0.16431676725155,46.9476477861571,6
"11",154,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",2,2019-12-17,"18/19",0.2,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.425,0.5,0.15,35.2941176470588,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"12",625,"Castro_CDECastro_19/20_nao_com","CDECastro","Castro","PR","com","nao","IPR Bem-te-vi","chc",1,2019-12-23,"19/20",1,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,2,1.5,3,NA,3,NA,3,NA,3,3,NA,0,2.35714285714286,3,1.18019368870416,50.0688231571464,7
"13",672,"Castro_CDECastro_19/20_nao_com","CDECastro","Castro","PR","com","nao","IAC 1850","chc",3,2019-12-23,"19/20",0.5,1.5,NA,NA,NA,NA,NA,NA,NA,1,1,0.707106781186548,70.7106781186548,2,NA,0,NA,0,NA,0,0,NA,0,NA,NA,0,0,0,NA,5
"14",174,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",3,2019-12-17,"18/19",0.2,0.2,0.5,0.5,0.5,NA,NA,NA,NA,0.38,0.5,0.16431676725155,43.2412545398815,5,0.1,0.1,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.166666666666667,0.2,0.0516397779494322,30.9838667696593,6
"15",185,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Tuiui<fa>","p",3,2019-12-17,"18/19",0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,0.2,0.2,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"16",229,"Arapoti_CDEArapoti_18/19_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Esteio","p",4,2019-12-17,"18/19",0.3,0.3,0.5,0.5,0.5,NA,NA,NA,NA,0.42,0.5,0.109544511501033,26.0820265478651,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"17",232,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 23","chc",1,2020-01-08,"19/20",3,NA,NA,NA,NA,3,NA,NA,NA,3,3,0,0,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"18",233,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",1,2020-01-08,"19/20",1,NA,NA,NA,NA,2,NA,NA,NA,1.5,1.5,0.707106781186548,47.1404520791032,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"19",234,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFp 119","p",1,2020-01-08,"19/20",1,NA,NA,NA,NA,3,NA,NA,NA,2,2,1.4142135623731,70.7106781186548,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"20",236,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",1,2020-01-08,"19/20",1,NA,NA,NA,NA,2,NA,NA,NA,1.5,1.5,0.707106781186548,47.1404520791032,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"21",237,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 104","chc",1,2020-01-08,"19/20",1,NA,NA,NA,NA,2,NA,NA,NA,1.5,1.5,0.707106781186548,47.1404520791032,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"22",240,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Intr<e9>pido","p",1,2020-01-08,"19/20",1,NA,NA,NA,NA,5,NA,NA,NA,3,3,2.82842712474619,94.2809041582063,2,NA,3,NA,3,NA,3,3,NA,NA,NA,NA,3,3,0,0,4
"23",242,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Madrep<e9>rola","chc",1,2020-01-08,"19/20",1,NA,NA,NA,NA,3,NA,NA,NA,2,2,1.4142135623731,70.7106781186548,2,1,NA,1,NA,1,NA,1,1,NA,NA,NA,1,1,0,0,5
"24",245,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC 97-2","chc",1,2020-01-08,"19/20",1,NA,NA,NA,NA,2,NA,NA,NA,1.5,1.5,0.707106781186548,47.1404520791032,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"25",250,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",1,2020-01-08,"19/20",1,NA,NA,NA,NA,10,NA,NA,NA,5.5,5.5,6.36396103067893,115.708382375981,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"26",255,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Uirapuru","p",1,2020-01-08,"19/20",1,NA,NA,NA,NA,1,NA,NA,NA,1,1,0,0,2,NA,0,NA,0,NA,4,5,NA,NA,NA,NA,2.25,2,2.62995563967658,116.886917318959,4
"27",262,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Intr<e9>pido","p",2,2020-01-08,"19/20",1,NA,NA,NA,NA,2,NA,NA,NA,1.5,1.5,0.707106781186548,47.1404520791032,2,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,0.25,0,0.5,200,4
"28",263,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",2,2020-01-08,"19/20",1,NA,NA,NA,NA,3,NA,NA,NA,2,2,1.4142135623731,70.7106781186548,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"29",277,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 402","chc",2,2020-01-08,"19/20",1,NA,NA,NA,NA,3,NA,NA,NA,2,2,1.4142135623731,70.7106781186548,2,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,1.25,1,0.5,40,4
"30",281,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",2,2020-01-08,"19/20",1,NA,NA,NA,NA,3,NA,NA,NA,2,2,1.4142135623731,70.7106781186548,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"31",284,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Bem-te-vi","chc",2,2020-01-08,"19/20",2,NA,NA,NA,NA,5,NA,NA,NA,3.5,3.5,2.12132034355964,60.6091526731326,2,NA,0,NA,0,NA,1,2,NA,NA,NA,NA,0.75,0.5,0.957427107756338,127.656947700845,4
"32",289,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Uirapuru","p",3,2020-01-08,"19/20",1,NA,NA,NA,NA,3,NA,NA,NA,2,2,1.4142135623731,70.7106781186548,2,NA,0,NA,0,NA,2,3,NA,NA,NA,NA,1.25,1,1.5,120,4
"33",297,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 204 Predileto","p",3,2020-01-08,"19/20",1,NA,NA,NA,NA,3,NA,NA,NA,2,2,1.4142135623731,70.7106781186548,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"34",298,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Madrep<e9>rola","chc",3,2020-01-08,"19/20",1,NA,NA,NA,NA,7,NA,NA,NA,4,4,4.24264068711928,106.066017177982,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"35",301,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Bem-te-vi","chc",3,2020-01-08,"19/20",1,NA,NA,NA,NA,3,NA,NA,NA,2,2,1.4142135623731,70.7106781186548,2,NA,0,NA,0,NA,4,5,NA,NA,NA,NA,2.25,2,2.62995563967658,116.886917318959,4
"36",305,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 23","chc",3,2020-01-08,"19/20",1,NA,NA,NA,NA,3,NA,NA,NA,2,2,1.4142135623731,70.7106781186548,2,NA,1,NA,1,NA,3,3,NA,NA,NA,NA,2,2,1.15470053837925,57.7350269189626,4
"37",309,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",3,2020-01-08,"19/20",1,NA,NA,NA,NA,15,NA,NA,NA,8,8,9.89949493661167,123.743686707646,2,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,0.25,0,0.5,200,4
"38",311,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFp 119","p",3,2020-01-08,"19/20",1,NA,NA,NA,NA,5,NA,NA,NA,3,3,2.82842712474619,94.2809041582063,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"39",315,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",3,2020-01-08,"19/20",1,NA,NA,NA,NA,3,NA,NA,NA,2,2,1.4142135623731,70.7106781186548,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"40",318,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC 97-2","chc",4,2020-01-08,"19/20",1,NA,NA,NA,NA,5,NA,NA,NA,3,3,2.82842712474619,94.2809041582063,2,NA,2,NA,2,NA,3,5,NA,NA,NA,NA,3,2.5,1.4142135623731,47.1404520791032,4
"41",319,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Veloz","p",4,2020-01-08,"19/20",1,NA,NA,NA,NA,5,NA,NA,NA,3,3,2.82842712474619,94.2809041582063,2,NA,0,NA,0,NA,1,2,NA,NA,NA,NA,0.75,0.5,0.957427107756338,127.656947700845,4
"42",320,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC 1850","chc",4,2020-01-08,"19/20",1,NA,NA,NA,NA,5,NA,NA,NA,3,3,2.82842712474619,94.2809041582063,2,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,0.25,0,0.5,200,4
"43",323,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 23","chc",4,2020-01-08,"19/20",1,NA,NA,NA,NA,2,NA,NA,NA,1.5,1.5,0.707106781186548,47.1404520791032,2,NA,0,NA,0,NA,2,3,NA,NA,NA,NA,1.25,1,1.5,120,4
"44",327,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Bem-te-vi","chc",4,2020-01-08,"19/20",1,NA,NA,NA,NA,5,NA,NA,NA,3,3,2.82842712474619,94.2809041582063,2,NA,0,NA,0,NA,1,3,NA,NA,NA,NA,1,0.5,1.4142135623731,141.42135623731,4
"45",330,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",4,2020-01-08,"19/20",1,NA,NA,NA,NA,5,NA,NA,NA,3,3,2.82842712474619,94.2809041582063,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"46",332,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 104","chc",4,2020-01-08,"19/20",1,NA,NA,NA,NA,5,NA,NA,NA,3,3,2.82842712474619,94.2809041582063,2,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,4
"47",342,"Arapoti_CDEArapoti_19/20_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Uirapuru","p",4,2020-01-08,"19/20",1,NA,NA,NA,NA,3,NA,NA,NA,2,2,1.4142135623731,70.7106781186548,2,NA,0,NA,0,NA,1,1,NA,NA,NA,NA,0.5,0.5,0.577350269189626,115.470053837925,4
"48",1,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","BRSMG Majestoso","chc",2,2013-12-18,"13/14",0.1,0.1,NA,0.1,NA,0.1,0.1,0.5,NA,0.166666666666667,0.1,0.163299316185545,97.9795897113271,6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,1
"49",2,"Castro_CDECastro_13/14_nao_com","CDECastro","Castro","PR","com","nao","ANFc 9","chc",3,2013-12-18,"13/14",0.1,0.1,NA,0.1,NA,0.1,0.1,0.1,NA,0.1,0.1,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"50",3,"Arapoti_CDEArapoti_14/15_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",1,2014-12-15,"14/15",0.2,0.2,0.4,0.6,1,NA,4,NA,NA,1.06666666666667,0.5,1.46787828741577,137.613589445229,6,0.2,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.282842712474619,70.7106781186547,2
"51",4,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","ANFc 9","chc",1,2017-12-15,"17/18",1,4.5,7,NA,NA,NA,NA,NA,NA,4.16666666666667,4.5,3.01385688667085,72.3325652801005,3,0.1,0.1,0.1,0.1,0.1,3,3,3.5,NA,NA,NA,1.25,0.1,1.59463385855724,127.570708684579,8
"52",5,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Campeiro","p",1,2017-12-15,"17/18",0.1,0.8,1,1,NA,NA,NA,NA,NA,0.725,0.9,0.427200187265877,58.9241637608106,4,0.1,0.1,0.1,0.1,0.4,0.4,0.4,NA,NA,NA,NA,0.228571428571429,0.1,0.160356745147455,70.1560760020114,7
"53",6,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",1,2017-12-15,"17/18",0.1,0.8,1,1.5,NA,NA,NA,NA,NA,0.85,0.9,0.58022983951764,68.2623340608989,4,0.2,0.5,1,1,1,NA,NA,NA,NA,NA,NA,0.74,1,0.371483512420134,50.2004746513695,5
"54",7,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 104","chc",1,2017-12-15,"17/18",2,7,7.5,NA,NA,NA,NA,NA,NA,5.5,7,3.04138126514911,55.2978411845293,3,0.1,0.2,4,5,5.5,NA,NA,NA,NA,NA,NA,2.96,4,2.62164070764855,88.5689428259646,5
"55",8,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 402","chc",1,2017-12-15,"17/18",0.2,1,3,NA,NA,NA,NA,NA,NA,1.4,1,1.4422205101856,103.015750727543,3,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,3
"56",9,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FP 403","p",1,2017-12-15,"17/18",0.2,1.2,2.5,2.5,NA,NA,NA,NA,NA,1.6,1.85,1.11654228162962,69.7838926018509,4,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,3
"57",10,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FS 305","calima",1,2017-12-15,"17/18",1.5,3.5,5.5,NA,NA,NA,NA,NA,NA,3.5,3.5,2,57.1428571428571,3,0.1,0.1,1.5,2,3,5,5,5,NA,NA,NA,2.7125,2.5,2.11824556784956,78.0920025013661,8
"58",11,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Madrep<e9>rola","chc",1,2017-12-15,"17/18",1.5,5,7,NA,NA,NA,NA,NA,NA,4.5,5,2.78388218141501,61.8640484758891,3,0.2,0.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.8,0.650640709864771,78.0768851837725,3
"59",12,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Sublime","chc",1,2017-12-15,"17/18",0.4,2.5,2.5,2.5,NA,NA,NA,NA,NA,1.975,2.5,1.05,53.1645569620253,4,0.3,0.3,0.8,1.5,2,2,2,NA,NA,NA,NA,1.27142857142857,1.5,0.791021039994693,62.2151379771107,7
"60",13,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRSMG Uai","chc",1,2017-12-15,"17/18",0.3,2.5,3.5,NA,NA,NA,NA,NA,NA,2.1,2.5,1.63707055437449,77.9557406844995,3,0.2,0.2,0.5,0.8,NA,NA,NA,NA,NA,NA,NA,0.425,0.35,0.287228132326901,67.5830899592709,4
"61",14,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","C 10-6-91","chc",1,2017-12-15,"17/18",2,4.5,6,NA,NA,NA,NA,NA,NA,4.16666666666667,4.5,2.02072594216369,48.4974226119286,3,0.1,0.1,0.1,0.1,0.2,1.5,2,3,NA,NA,NA,0.8875,0.15,1.1357030547513,127.966541380428,8
"62",15,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Mil<ea>nio","chc",1,2017-12-15,"17/18",0.1,0.8,1.5,1.5,NA,NA,NA,NA,NA,0.975,1.15,0.670198975429437,68.7383564543012,4,0.1,0.5,1,1,1,NA,NA,NA,NA,NA,NA,0.72,1,0.408656334834051,56.7578242825071,5
"63",16,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Sintonia","chc",1,2017-12-15,"17/18",2,5.3,8,NA,NA,NA,NA,NA,NA,5.1,5.3,3.00499584026334,58.9214870639871,3,0.1,0.1,0.1,0.1,0.5,1,1,1.5,NA,NA,NA,0.55,0.3,0.550324579550235,100.059014463679,8
"64",17,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",1,2017-12-15,"17/18",1.5,4.5,7.5,NA,NA,NA,NA,NA,NA,4.5,4.5,3,66.6666666666667,3,0.2,0.5,1,1.5,NA,NA,NA,NA,NA,NA,NA,0.8,0.75,0.571547606649408,71.443450831176,4
"65",18,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR 139","chc",1,2017-12-15,"17/18",0.2,1.5,2.5,NA,NA,NA,NA,NA,NA,1.4,1.5,1.15325625946708,82.3754471047914,3,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.233333333333333,0.2,0.0577350269189626,24.7435829652697,3
"66",19,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Bem-te-vi","chc",1,2017-12-15,"17/18",0.1,1,2,NA,NA,NA,NA,NA,NA,1.03333333333333,1,0.950438495292217,91.9779188992468,3,0.2,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,0.56,0.8,0.3286335345031,58.6845597326964,5
"67",20,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",1,2017-12-15,"17/18",0.4,2,3,NA,NA,NA,NA,NA,NA,1.8,2,1.3114877048604,72.8604280478,3,0.5,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.875,1,0.25,28.5714285714286,4
"68",21,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Celeiro","chc",1,2017-12-15,"17/18",0.5,1.5,2.5,NA,NA,NA,NA,NA,NA,1.5,1.5,1,66.6666666666667,3,0.2,0.8,1.5,2.5,2.5,2.5,NA,NA,NA,NA,NA,1.66666666666667,2,1.00133244562766,60.0799467376595,6
"69",22,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",1,2017-12-15,"17/18",2,6.3,8,NA,NA,NA,NA,NA,NA,5.43333333333333,6.3,3.09246395829173,56.9165145697864,3,0.2,1.5,2,3.5,3.5,3.5,NA,NA,NA,NA,NA,2.36666666666667,2.75,1.3735598518691,58.0377402198212,6
"70",23,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a Radiante","b",1,2017-12-15,"17/18",2,8,8.5,NA,NA,NA,NA,NA,NA,6.16666666666667,8,3.61708906903512,58.6554984167857,3,0.2,0.8,2.5,4,7.5,7.5,7.5,NA,NA,NA,NA,4.28571428571429,4,3.2431613031262,75.6737637396114,7
"71",24,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Nhambu","p",1,2017-12-15,"17/18",0.8,1.9,4.5,NA,NA,NA,NA,NA,NA,2.4,1.9,1.9,79.1666666666667,3,0.2,0.8,1.5,2,2.5,2.5,NA,NA,NA,NA,NA,1.58333333333333,1.75,0.936838655621482,59.1687571971463,6
"72",25,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Urutau","p",1,2017-12-15,"17/18",0.5,2.8,4.5,NA,NA,NA,NA,NA,NA,2.6,2.8,2.00748598998847,77.2109996149413,3,0.1,0.1,0.1,0.1,0.1,0.5,0.5,1,NA,NA,NA,0.3125,0.1,0.331393163133201,106.045812202624,8
"73",26,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Linhagem 110","chc",1,2017-12-15,"17/18",0.2,2,3,NA,NA,NA,NA,NA,NA,1.73333333333333,2,1.41891977691952,81.8607563607414,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"74",27,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 205 Riqueza","chc",1,2017-12-15,"17/18",1,3.5,6,NA,NA,NA,NA,NA,NA,3.5,3.5,2.5,71.4285714285714,3,0.2,0.8,1,1.5,NA,NA,NA,NA,NA,NA,NA,0.875,0.9,0.537742193496723,61.4562506853397,4
"75",28,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",1,2017-12-15,"17/18",0.1,2,5.5,NA,NA,NA,NA,NA,NA,2.53333333333333,2,2.73922130054023,108.127156600272,3,0.2,0.8,1.5,1.5,2,NA,NA,NA,NA,NA,NA,1.2,1.5,0.703562363973514,58.6301969977929,5
"76",29,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",1,2017-12-15,"17/18",0.2,2,4.5,NA,NA,NA,NA,NA,NA,2.23333333333333,2,2.1594752448994,96.6929214134061,3,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,0.65,0.8,0.3,46.1538461538462,4
"77",30,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","GEN 107-14A-336","chc",2,2017-12-15,"17/18",0.1,1.5,2.5,NA,NA,NA,NA,NA,NA,1.36666666666667,1.5,1.20554275466834,88.2104454635372,3,0.1,0.1,0.1,0.1,0.3,1,1.5,1.5,NA,NA,NA,0.5875,0.2,0.640172967698128,108.965611523086,8
