"","index","id_ensaio","Local","cidade","estado","fungicida","irrigacao","genotipo","tipo_de_grao","repeticao","data_semeadura","data_colheita","safra","FO1","FO2","FO3","FO4","FO5","FO6","FO7","FO8","FO9","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11"
"21",21,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Celeiro","chc",1,2017-12-15,2018-03-15,"17/18",0.5,1.5,2.5,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,2.5,2.5,2.5,NA,NA,NA,NA,NA
"22",22,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",1,2017-12-15,2018-03-15,"17/18",2,6.3,8,NA,NA,NA,NA,NA,NA,0.2,1.5,2,3.5,3.5,3.5,NA,NA,NA,NA,NA
"23",23,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Gar<e7>a Radiante","b",1,2017-12-15,2018-03-15,"17/18",2,8,8.5,NA,NA,NA,NA,NA,NA,0.2,0.8,2.5,4,7.5,7.5,7.5,NA,NA,NA,NA
"24",24,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Nhambu","p",1,2017-12-15,2018-03-15,"17/18",0.8,1.9,4.5,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,2,2.5,2.5,NA,NA,NA,NA,NA
"25",25,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Urutau","p",1,2017-12-15,2018-03-15,"17/18",0.5,2.8,4.5,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.5,0.5,1,NA,NA,NA
"26",26,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Linhagem 110","chc",1,2017-12-15,2018-03-15,"17/18",0.2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","SCS 205 Riqueza","chc",1,2017-12-15,2018-03-15,"17/18",1,3.5,6,NA,NA,NA,NA,NA,NA,0.2,0.8,1,1.5,NA,NA,NA,NA,NA,NA,NA
"28",28,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA Dama","chc",1,2017-12-15,2018-03-15,"17/18",0.1,2,5.5,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,1.5,2,NA,NA,NA,NA,NA,NA
"29",29,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","UEM Flor Diniz","chc",1,2017-12-15,2018-03-15,"17/18",0.2,2,4.5,NA,NA,NA,NA,NA,NA,0.2,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA
"30",30,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","GEN 107-14A-336","chc",2,2017-12-15,2018-03-15,"17/18",0.1,1.5,2.5,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.3,1,1.5,1.5,NA,NA,NA
"31",31,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Campos Gerais","chc",2,2017-12-15,2018-03-15,"17/18",0.4,3,5,NA,NA,NA,NA,NA,NA,0.1,0.5,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA
"32",32,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","TAA 03","chc",2,2017-12-15,2018-03-15,"17/18",0.2,1.5,3,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,3,3,3,NA,NA,NA,NA,NA
"33",33,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IAC Sintonia","chc",2,2017-12-15,2018-03-15,"17/18",0.8,5.5,7.5,NA,NA,NA,NA,NA,NA,0.2,0.5,2.5,3,NA,NA,NA,NA,NA,NA,NA
"34",34,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","IPR Curi<f3>","chc",2,2017-12-15,2018-03-15,"17/18",1,5.5,7,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,5,5,5,NA,NA,NA,NA
"35",35,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS Estilo","chc",2,2017-12-15,2018-03-15,"17/18",0.2,1.5,3,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,4,4,4,NA,NA,NA
"36",36,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","BRS FC 402","chc",2,2017-12-15,2018-03-15,"17/18",0.1,0.8,2.5,NA,NA,NA,NA,NA,NA,0.1,0.5,1,1,1,NA,NA,NA,NA,NA,NA
"37",37,"Arapoti_CDEArapoti_17/18_nao_com","CDEArapoti","Arapoti","PR","com","nao","Imperador Vermelho","chc",2,2017-12-15,2018-03-15,"17/18",1,4.5,6,NA,NA,NA,NA,NA,NA,0.2,0.8,1.5,2.5,3,3,NA,NA,NA,NA,NA
